,sp,division,effect,effect_id,treatment,unique,Survival,PC1,PC2,SSD,MRSD,FRSD,Leaf_Area,LMA,LDMC,Stomatal_Density
143,CALAPE,MG,Edge,4,Control,MG_EXT4_c_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
144,CALAPE,KDM,Edge,2,Control,KDM_EXT2_c_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
145,CALAPE,MG,Edge,3,Control,MG_EXT3_c_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
146,CALAPE,DG,Edge,2,Control,DG_EXT2_c_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
148,CALAPE,KT,Edge,3,Control,KT_EXT3_c_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
152,CALAPE,KT,Edge,2,Control,KT_EXT2_c_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
155,CALAPE,KT,Edge,1,Control,KT_EXT1_c_CALAPE,1,2.06514653931293,0.375036234832858,0.593367834892335,0.459886312100598,0.262992992808409,42.9155,0.00983924707816249,0.354340531442487,351.695837513869
160,CINVER,KDM,Edge,3,Control,KDM_EXT3_c_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
161,CINVER,MG,Edge,1,Control,MG_EXT1_c_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
166,CINVER,KT,Edge,2,Control,KT_EXT2_c_CINVER,0,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
167,CINVER,KT,Edge,3,Control,KT_EXT3_c_CINVER,0,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
169,CINVER,DG,Edge,3,Control,DG_EXT3_c_CINVER,0,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
172,CINVER,MG,Edge,4,Control,MG_EXT4_c_CINVER,0,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
173,CINVER,MG,Edge,3,Control,MG_EXT3_c_CINVER,0,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
175,CINVER,MG,Edge,2,Drought,MG_EXT2_d_CINVER,0,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
179,CINVER,KT,Edge,2,Drought,KT_EXT2_d_CINVER,0,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
180,CINVER,KT,Edge,3,Drought,KT_EXT3_d_CINVER,0,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
182,CINVER,DG,Edge,3,Drought,DG_EXT3_d_CINVER,0,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
185,CINVER,MG,Edge,4,Drought,MG_EXT4_d_CINVER,0,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
186,CINVER,MG,Edge,3,Drought,MG_EXT3_d_CINVER,0,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
187,CINVER,KDM,Edge,2,Control,KDM_EXT2_c_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
190,CINVER,KDM,Edge,2,Drought,KDM_EXT2_d_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
191,CINVER,KT,Edge,1,Drought,KT_EXT1_d_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
193,CINVER,MG,Edge,2,Control,MG_EXT2_c_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
195,CINVER,KT,Edge,1,Control,KT_EXT1_c_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
196,CINVER,DG,Edge,2,Control,DG_EXT2_c_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
197,CINVER,KDM,Edge,1,Control,KDM_EXT1_c_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
199,CINVER,DG,Edge,1,Control,DG_EXT1_c_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
203,CINVER,MG,Edge,1,Drought,MG_EXT1_d_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
204,CINVER,DG,Edge,1,Drought,DG_EXT1_d_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
205,CINVER,DG,Edge,2,Drought,DG_EXT2_d_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
206,CINVER,KDM,Edge,3,Drought,KDM_EXT3_d_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
208,CINVER,KDM,Edge,1,Drought,KDM_EXT1_d_CINVER,1,0.10545076818451,0.185620276265304,0.352034412450295,0.33578837801623,0.191662838468721,96.3594,0.00835159401911874,0.402397374454325,
209,EUGGAR,KT,Edge,2,Drought,KT_EXT2_d_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
213,EUGGAR,KT,Edge,1,Control,KT_EXT1_c_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
214,EUGGAR,KT,Edge,2,Control,KT_EXT2_c_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
215,EUGGAR,KT,Edge,3,Control,KT_EXT3_c_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
219,EUGGAR,KDM,Edge,3,Control,KDM_EXT3_c_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
220,EUGGAR,KDM,Edge,2,Control,KDM_EXT2_c_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
221,EUGGAR,DG,Edge,3,Control,DG_EXT3_c_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
224,EUGGAR,DG,Edge,1,Control,DG_EXT1_c_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
225,EUGGAR,DG,Edge,2,Control,DG_EXT2_c_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
226,EUGGAR,MG,Edge,1,Control,MG_EXT1_c_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
227,EUGGAR,KDM,Edge,1,Drought,KDM_EXT1_d_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
230,EUGGAR,KDM,Edge,3,Drought,KDM_EXT3_d_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
232,EUGGAR,DG,Edge,3,Drought,DG_EXT3_d_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
234,EUGGAR,DG,Edge,1,Drought,DG_EXT1_d_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
235,EUGGAR,DG,Edge,2,Drought,DG_EXT2_d_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
236,EUGGAR,MG,Edge,1,Drought,MG_EXT1_d_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
239,EUGGAR,KT,Edge,1,Drought,KT_EXT1_d_EUGGAR,0,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
240,EUGGAR,KT,Edge,3,Drought,KT_EXT3_d_EUGGAR,0,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
242,EUGGAR,KDM,Edge,2,Drought,KDM_EXT2_d_EUGGAR,0,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
245,EUGGAR,MG,Edge,2,Drought,MG_EXT2_d_EUGGAR,0,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
248,EUGGAR,MG,Edge,4,Drought,MG_EXT4_d_EUGGAR,0,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
249,EUGGAR,MG,Edge,3,Drought,MG_EXT3_d_EUGGAR,0,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
251,EUGGAR,MG,Edge,4,Control,MG_EXT4_c_EUGGAR,0,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
254,EUGGAR,MG,Edge,2,Control,MG_EXT2_c_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
255,EUGGAR,MG,Edge,3,Control,MG_EXT3_c_EUGGAR,1,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
258,EUGGAR,KDM,Edge,1,Control,KDM_EXT1_c_EUGGAR,0,2.2162492665061,-0.584184501233436,0.803645833333333,0.240934343434343,0.445516304347826,22.524,0.00673724443089022,0.456831098967578,541.478874360975
263,GARGUM,DG,Edge,2,Control,DG_EXT2_c_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
265,GARGUM,DG,Edge,3,Control,DG_EXT3_c_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
266,GARGUM,DG,Edge,1,Control,DG_EXT1_c_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
268,GARGUM,MG,Edge,4,Control,MG_EXT4_c_GARGUM,1,0.000480683987257646,0.884250929635094,0.516951816095064,0.543200744604616,0.238896116035947,66.381,0.00605519479442696,0.170337676140785,131.388256278766
